,0,1
0,3-1-1,Homeless Person Assistance
1,3-1-1,DOF Property - City Rebate
2,3-1-1,Noise - Helicopter
3,3-1-1,Sidewalk Condition
4,3-1-1,Benefit Card Replacement
5,3-1-1,Meals Home Delivery Required
6,3-1-1,City Vehicle Placard Complaint
7,3-1-1,LinkNYC
8,3-1-1,OEM Disabled Vehicle
9,3-1-1,Noise Survey
10,3-1-1,Illegal Parking
11,3-1-1,DOF Property - State Rebate
12,ACS,Forms
13,ACS,Damaged Tree
14,CEO,General Question
15,COIB,Forms
16,DCA,DCA / DOH New License Application Request
17,DCA,Consumer Complaint
18,DCAS,Question
19,DCAS,Comments
20,DCP,Research Questions
21,DEP,Air Quality
22,DEP,Water Maintenance
23,DEP,Asbestos
24,DEP,FHE
25,DEP,FATF
26,DEP,Hazardous Material
27,DEP,Plant
28,DEP,ATF
29,DEP,Noise
30,DEP,Lead
31,DEP,Sewer
32,DEP,Water Conservation
33,DEP,Water System
34,DEP,Water Quality
35,DEP,Hazardous Materials
36,DEP,MSOTHER
37,DEP,Industrial Waste
38,DEP,SRDE
39,DEP,Internal Code
40,DEP,SG-99
41,DEP,FCST
42,DEP,CST
43,DFTA,Senior Center Complaint
44,DFTA,Housing - Low Income Senior
45,DFTA,Case Management Agency Complaint
46,DFTA,Home Delivered Meal - Missed Delivery
47,DFTA,Eviction
48,DFTA,Alzheimer's Care
49,DFTA,Transportation Provider Complaint
50,DFTA,Elder Abuse
51,DFTA,NORC Complaint
52,DFTA,Home Care Provider Complaint
53,DFTA,SCRIE
54,DFTA,Legal Services Provider Complaint
55,DFTA,Housing Options
56,DFTA,Bereavement Support Group
57,DFTA,Home Delivered Meal Complaint
58,DFTA,Home Repair
59,DFTA,HEAP Assistance
60,DFTA,Weatherization
61,DFTA,Utility Program
62,DHS,Homeless Person Assistance
63,DHS,DHS Advantage -Landlord/Broker
64,DHS,DHS Advantage - Tenant
65,DHS,DHS Advantage - Third Party
66,DHS,DHS Income Savings Requirement
67,DOB,Elevator
68,DOB,General Construction/Plumbing
69,DOB,Construction Safety Enforcement
70,DOB,Special Operations
71,DOB,Quality of Life
72,DOB,Electrical
73,DOB,Stalled Sites
74,DOB,Scaffold Safety
75,DOB,Dept of Investigations
76,DOB,Special Projects Inspection Team (SPIT)
77,DOB,Building Marshals office
78,DOB,Investigations and Discipline (IAD)
79,DOB,Facades
80,DOB,Cranes and Derricks
81,DOB,Boilers
82,DOB,Miscellaneous Categories
83,DOB,Special Natural Area District (SNAD)
84,DOB,Forensic Engineering
85,DOB,Single Occupancy Bathroom
86,DOB,Construction
87,DOB,Traffic Signal Condition
